step,lr,l0,dead_fraction,loss,reconstruction_loss,l1_loss,aux_loss
57,1.16e-05,7120.33056640625,0.0,9.565528869628906,4.0192790031433105,3044.867919921875,4.0238165855407715
58,1.18e-05,7089.5556640625,0.0,8.76272201538086,3.633232593536377,2984.0673828125,3.637455463409424
59,1.2e-05,7044.1201171875,0.0,12.052217483520508,5.215490818023682,3229.61279296875,5.221920013427734
60,1.22e-05,7023.037109375,0.0,12.235170364379883,5.300845146179199,3253.39453125,5.3076276779174805
61,1.2400000000000002e-05,6973.396484375,0.0,10.012273788452148,4.23738956451416,3063.948974609375,4.242908954620361
62,1.26e-05,6939.9765625,0.0,8.846711158752441,3.6813507080078125,2958.21337890625,3.686253309249878
63,1.2800000000000001e-05,6895.2744140625,0.0,11.288211822509766,4.851318359375,3157.54833984375,4.858118534088135
64,1.3000000000000001e-05,6852.3291015625,0.0,10.696832656860352,4.569015026092529,3104.39013671875,4.575622081756592
65,1.32e-05,6812.87548828125,0.0,9.399004936218262,3.9504506587982178,2984.5478515625,3.95628023147583
66,1.34e-05,6782.326171875,0.0,10.798786163330078,4.618190288543701,3110.54931640625,4.625321388244629
67,1.36e-05,6732.986328125,0.0,8.159780502319336,3.363088369369507,2856.734619140625,3.3683242797851562
68,1.3800000000000002e-05,6705.12890625,0.0,10.702522277832031,4.572765827178955,3098.935302734375,4.580289363861084
69,1.4e-05,6668.5419921875,0.0,7.697965621948242,3.1443610191345215,2808.140625,3.149533987045288
70,1.4200000000000001e-05,6615.447265625,0.0,8.496696472167969,3.526371479034424,2875.8095703125,3.5324196815490723
71,1.4400000000000001e-05,6583.765625,0.0,8.023629188537598,3.3021790981292725,2826.9404296875,3.3079795837402344
72,1.46e-05,6542.9326171875,0.0,10.010601043701172,4.245914459228516,3021.85791015625,4.253757476806641
73,1.48e-05,6515.3125,0.0,8.632057189941406,3.5904173851013184,2889.0068359375,3.5971360206604004
74,1.5e-05,6450.9423828125,0.0,6.0637946128845215,2.3814024925231934,2593.127197265625,2.3858284950256348
75,1.52e-05,6426.296875,0.0,7.97681999206543,3.285494804382324,2798.70751953125,3.291971206665039
76,1.54e-05,6390.71484375,0.0,8.953030586242676,3.746100902557373,2906.30078125,3.753779172897339
77,1.56e-05,6342.2998046875,0.0,7.798157215118408,3.20331072807312,2769.72216796875,3.2099852561950684
78,1.58e-05,6310.06005859375,0.0,7.378309726715088,3.005573272705078,2721.55419921875,3.0119595527648926
79,1.6e-05,6261.34765625,0.0,8.406111717224121,3.4904403686523438,2835.02490234375,3.498159170150757
80,1.62e-05,6224.794921875,0.0,6.563314437866211,2.6249403953552246,2615.204345703125,2.6307716369628906
81,1.6400000000000002e-05,6182.71875,0.0,7.307949066162109,2.9755120277404785,2700.12744140625,2.982372999191284
82,1.66e-05,6142.7783203125,0.0,6.668417930603027,2.676081657409668,2619.94921875,2.682361602783203
83,1.6800000000000002e-05,6105.822265625,0.0,7.133388996124268,2.894624710083008,2674.25,2.901639461517334
84,1.7e-05,6084.91943359375,0.0,7.468947887420654,3.0496654510498047,2723.953125,3.0573058128356934
85,1.72e-05,6024.853515625,0.0,6.147794723510742,2.4358057975769043,2540.10498046875,2.441936492919922
86,1.7400000000000003e-05,5992.1962890625,0.0,5.703719139099121,2.2280421257019043,2483.8828125,2.2337355613708496
87,1.76e-05,5959.0146484375,0.0,6.357284069061279,2.532137393951416,2572.553466796875,2.538869857788086
88,1.78e-05,5922.17333984375,0.0,6.430572509765625,2.5672216415405273,2578.24169921875,2.574230194091797
89,1.8e-05,5882.3662109375,0.0,5.558697700500488,2.16422176361084,2448.595458984375,2.1701784133911133
90,1.8200000000000002e-05,5835.46875,0.0,4.329730987548828,1.5957845449447632,2267.7216796875,1.600085735321045
91,1.84e-05,5796.03857421875,0.0,4.435786247253418,1.6471837759017944,2273.67333984375,1.6517655849456787
92,1.86e-05,5758.8720703125,0.0,4.839014053344727,1.8341946601867676,2330.63427734375,1.8395025730133057
93,1.88e-05,5720.9345703125,0.0,5.410121917724609,2.0980637073516846,2415.357666015625,2.104379415512085
94,1.9e-05,5699.71826171875,0.0,5.128125190734863,1.9674100875854492,2374.602294921875,1.9734140634536743
95,1.9200000000000003e-05,5652.6455078125,0.0,5.83962345123291,2.294398307800293,2486.9931640625,2.3017287254333496
96,1.94e-05,5611.61962890625,0.0,4.123018264770508,1.5085750818252563,2202.4501953125,1.5132181644439697
97,1.96e-05,5574.2421875,0.0,5.852930545806885,2.3008298873901367,2487.180908203125,2.3085103034973145
98,1.98e-05,5558.1396484375,0.0,4.98884391784668,1.9036442041397095,2350.421630859375,1.9099887609481812
99,2e-05,5503.38623046875,0.0,5.197458267211914,2.000548839569092,2378.92431640625,2.0074472427368164
100,2.0200000000000003e-05,5475.34814453125,0.0,4.612100124359131,1.7333040237426758,2279.00537109375,1.7392933368682861
101,2.04e-05,5436.83642578125,0.0,4.352490425109863,1.6159019470214844,2230.06640625,1.6215555667877197
102,2.06e-05,5399.068359375,0.0,4.638080596923828,1.745553731918335,2281.298095703125,1.7518775463104248
103,2.0800000000000004e-05,5377.537109375,0.0,4.844742774963379,1.8372910022735596,2326.595703125,1.844153642654419
104,2.1000000000000002e-05,5337.005859375,0.0,4.154942989349365,1.5261515378952026,2193.91796875,1.5318324565887451
105,2.12e-05,5303.6767578125,0.0,4.9111504554748535,1.8648205995559692,2348.37109375,1.8721442222595215
106,2.1400000000000002e-05,5276.2900390625,0.0,3.987919330596924,1.4497332572937012,2165.7333984375,1.4553194046020508
107,2.16e-05,5243.87890625,0.0,4.432119846343994,1.647223949432373,2262.04248046875,1.6538745164871216
108,2.18e-05,5201.7099609375,0.0,4.194423675537109,1.5407127141952515,2213.3974609375,1.5470125675201416
109,2.2000000000000003e-05,5155.45263671875,0.0,3.2672903537750244,1.1303162574768066,2004.357421875,1.1347954273223877
110,2.22e-05,5136.880859375,0.0,4.062767028808594,1.4802923202514648,2191.75244140625,1.4865984916687012
111,2.24e-05,5127.537109375,0.0,4.276517868041992,1.5711952447891235,2254.41455078125,1.5781153440475464
112,2.26e-05,5092.376953125,0.0,3.6007564067840576,1.2726764678955078,2099.747802734375,1.2782061100006104
113,2.2800000000000002e-05,5074.64794921875,0.0,3.971405506134033,1.4323943853378296,2200.198974609375,1.4389114379882812
114,2.3e-05,5029.376953125,0.0,3.7076916694641113,1.3162117004394531,2138.43701171875,1.3222613334655762
115,2.32e-05,5012.955078125,0.0,3.8358914852142334,1.3686327934265137,2184.2734375,1.375121831893921
116,2.34e-05,4968.9912109375,0.0,3.1278038024902344,1.0612635612487793,2000.7615966796875,1.0661592483520508
117,2.36e-05,4953.095703125,0.0,3.5507636070251465,1.2410935163497925,2124.9873046875,1.2471764087677002
118,2.3800000000000003e-05,4933.58203125,0.0,3.6577322483062744,1.2833800315856934,2168.975830078125,1.2898643016815186
119,2.4e-05,4903.93505859375,0.0,3.25067138671875,1.1066935062408447,2063.453369140625,1.1122512817382812
120,2.4200000000000002e-05,4866.8427734375,0.0,3.1675937175750732,1.0697733163833618,2045.160888671875,1.075239896774292
121,2.44e-05,4834.59619140625,0.0,2.4943618774414062,0.7839885950088501,1845.2755126953125,0.7877355217933655
122,2.46e-05,4818.6259765625,0.0,3.1106724739074707,1.0397640466690063,2051.207275390625,1.045304775238037
123,2.4800000000000003e-05,4798.2275390625,0.0,2.835219621658325,0.9222734570503235,1971.575439453125,0.9271584153175354
124,2.5e-05,4760.736328125,0.0,2.5801901817321777,0.814628005027771,1893.366455078125,0.8188788890838623
125,2.52e-05,4736.548828125,0.0,2.9632482528686523,0.970061182975769,2035.2431640625,0.9755655527114868
126,2.54e-05,4710.12158203125,0.0,2.825362205505371,0.9108565449714661,1996.91162109375,0.9160497188568115
127,2.5600000000000002e-05,4709.025390625,0.0,2.4580318927764893,0.7577627897262573,1876.6925048828125,0.7619228363037109
128,2.58e-05,4668.068359375,0.0,2.658907890319824,0.8368355631828308,1960.628173828125,0.8417582511901855
129,2.6000000000000002e-05,4633.1630859375,0.0,2.4640257358551025,0.7563430070877075,1893.8568115234375,0.760754406452179
